ID,Inv_No,Photolink,PHI_link,Habicht_No_AvP8.3 page,"Habicht_image_Avp8,3_Taf",Habicht_cat,period,date_start,date_end,date,type,Content,Comments on content,Form,Material,Location found,Location - intended,Comments on location,Translations and other literature,X-coord,y-coord,Geo_notes ,Current_Location,Location_Code,current_x-coord,current_y-coord,Current_Network_Beeline,Relation,Relation to,Pleiades2,x-coord_Network,y-coord_Network,Beeline,Festival,Asklepios,Other gods or heroes,Honoree,Dedicant,Pergamenes (pilgrims),Pergamenes (Roman citizens),Romans (other),Other (pilgrims),other prosopography (needs cleaning or omit),Profession or magistracy,cult role,References
"36",IvP III 32,https://drive.google.com/file/d/1C4A6ncQL1qSSnFF5_L-pckf5JhxKDsO6/view?usp=sharing,https://inscriptions.packhum.org/text/303033?bookid=747&location=1674,"32, pp. 74-75",Taf. 11,B.e. Ehreninschriften. Für Sophisten,Imperial,"120","215",120-215 AD,Honorific,Honours the philosopher Tiberius Claudius Paulinus of Antiocheia in Pisidia,Boule and Demos involved in decission - and thus also involved in location?,Block and Statue base for originally a bronze statue,White Marble,Found in front of the Northern hall near the theatre, ,This place seems to have been a vocal point for honorific statues, ,9514314.79,4331942.608,,y,B030,9514317.894,4331936.344,Beelines__Point_IvP III 32,Pisidian Antioch,,https://pleiades.stoa.org/places/609307,31.1894355,38.305175,Beelines_Point_IvP III 32,,,,Tiberius Claudius Paulinus,,,,Ti. Claudius Paulinus from Pisidian Antioch,,,Philosopher ,,
"37",IvP III 33,https://drive.google.com/file/d/1k5VQ95gLN_WvOY4KiuF49IZ8dIoG8Y5k/view?usp=sharing,https://inscriptions.packhum.org/text/303034?bookid=747&location=1674,"33, pp. 75-76",Taf. 11,B.e. Ehreninschriften. Für Sophisten,Imperial,"131","145",131-145 AD,Honorific,Honours Demosthenes of Athens - his role model -  by the sophist Polemon,"Placed after a dream. Possibly thus after incubation, altough no illness is mentioned",Statue Base,White Marble,Found in front of the north hall in the theater area not far from the Roman baths, ,This place seems to have been a vocal point for honorific statues, ,9514314.79,4331942.608,,y,B018,9514370.138,4331931.776,Beelines__Point_IvP III 33,Athens,,https://pleiades.stoa.org/places/638955,23.726587521,37.9727951076,Beelines_Point_IvP III 33,,,,Demosthenes of Athens,M. Antoninus Polemon,,,M. Antoninus Polemon,Demosthenes of Demosthenes Paianieus of Athens,,"Sophist; p.16",,
"38",IvP III 34,,https://inscriptions.packhum.org/text/303035?bookid=747&location=1674,"34, pp. 76-79",Taf. 12,B.e. Ehreninschriften. Für Sophisten,Imperial,"200","210",200-210 AD,Honorific,Honours the Sophist L. Flavius Hermocrates,Boule and Demos involved in decission - and thus also involved in location?,Statue Base,White Marble,Found between the Northern Hall and Roman Baths, ,This place seems to have been a vocal point for honorific statues, ,9514314.79,4331942.608,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 34,"Asia (province); Pergamon",,,,,Beelines_Point_IvP III 34,,"Asklepios, theos megalos",,L. Flavius Hermocrates,,,,L. Flavius Hermocrates,,,"Sophist; Senator",,
"39",IvP III 35,https://drive.google.com/file/d/1ZMNkIJ-nKoG0sckQMdmRRQO6leRPZHIB/view?usp=sharing,https://inscriptions.packhum.org/text/303036?bookid=747&location=1674,"35, pp. 79-80",Taf. 13,B.e. Ehreninschriften. Für Sophisten,Imperial,"190","210",ca. 200 AD,Honorific,Honours the Sophist Marcus Acilius Diodotus of Caesarea-Mazaka (Cappadocia) by Aurelius Glycon Julianus,Boule and Demos involved in decission - and thus also involved in location?, ,White Marble,Found within the rear wall of the Northern hall with only writing surface visible, , , ,9514355.143,4331946.815,,y,B049,9514416.08,4331934.924,Beelines__Point_IvP III 35,Caesarea in Cappadocia (Caesarea-Mazaka),,https://pleiades.stoa.org/places/629035,35.484989,38.728033,Beelines_Point_IvP III 35,,,, Marcus Acilius Diodotus,A. Aelius  Glycon Iulianus,,A. Aelius  Glycon Iulianus,M. Acilius Diodotus,,,Sophist,,
"40",IvP III 36,,https://inscriptions.packhum.org/text/303037?bookid=747&location=1674,"36, pp. 80-82",Taf. 13,B.f. Ehreninschriften. Für prominenter Pergamener,Imperial,"37","41",37-41 AD,Honorific,"Honours  Demetrios Milates, a priest for life of the Imperial cult",He also established a festival for the emperor in the Asklepieion (????????? ?[?] [??]? ??? ???[??]?? ??????[???] [??]????? ???????? ???[?]- [??]?),Two fragments of a statue base,Light Blue-ish marble,"1 fragment Found in the rubble near the Asklepios temple; the other at the temple", ,The first fragment was reused as a building block, ,9514320.588,4331912.946,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 36,,,,,,Beelines_Point_IvP III 36,,,Sebastoi,Demetrios Milates,,Demetrios Milates,,,,"Kyriou autokratoros; Demetrios Milates",,Priest for life of Imperial cult,
"41",IvP III 37,https://drive.google.com/file/d/1mFSY7KSMZ2QKSPAVJ9jJbNwuxeUaGo5J/view?usp=sharing,https://inscriptions.packhum.org/text/303038?bookid=747&location=1674,"37, pp. 82-84",Taf. 13,B.f. Ehreninschriften. Für prominenter Pergamener,Imperial,"117","119",117-119 AD,Honorific,Honours Tiberius Claudius Menogenes with Ktistes for being gymnasiarch and for euergetism,Boule and Demos involved in decission - and thus also involved in location?,Statue base,White Marble,Found in front of the middle of the Northern Hall, ,This place seems to have been a vocal point for honorific statues, ,9514355.143,4331946.815,,y,B019,9514370.138,4331931.776,Beelines__Point_IvP III 37,,,,,,Beelines_Point_IvP III 37,,,,Tiberius Claudius Menogenes with Ktistes,,,Ti. Claudius Apollodori Menogenes,,,,Gymnasiarch,,
"42",IvP III 38,https://drive.google.com/file/d/1mabt5pBK8KOuwXApSF0Ys_MwbI_pr5on/view?usp=sharing,https://inscriptions.packhum.org/text/303039?bookid=747&location=1674,"38, pp. 84-85",Taf. 13,B.f. Ehreninschriften. Für prominenter Pergamener,Imperial,"117","138",117-138 AD,Honorific,"Honours Flavia Melitine, wife and mother of two prytanen",Reason for honours: financing of the library in Asklepieion. Boule and Demos involved in decission.,Statue base,White Marble,Found in the peristasis of the northern hall, ,"It seems strange that she is not honoured in the library, altough the exact location of her statue in the northernhall is unspecified and could thus be near the entrance", ,9514355.143,4331946.815,,y,B058,9514380.925,4331944.341,Beelines__Point_IvP III 38,,,,,,Beelines_Point_IvP III 38,,,,Flavia Melitine,,,"Flavia Melitine; Flavius Metrodorus",,,Flavius Metrodorus,Wife and mother of two prytanen,,
"43",IvP III 39,https://drive.google.com/file/d/1cGP3KRfncOIAizqjiU2n1-c0VpwFpt3i/view?usp=sharing,https://inscriptions.packhum.org/text/303040?bookid=747&location=1674,"39, pp. 85-86",,B.f. Ehreninschriften. Für prominenter Pergamener,Imperial,"200","250",200-250 AD,Honorific,Honours Sex. Claudius Silianus Aesimus for being agonothetes of Asklepios,Boule and Demos involved in decission - and thus also involved in location?,Statue base,White Marble,Found in front of the northern hall, ,This place seems to have been a vocal point for honorific statues, ,9514355.143,4331946.815,,y,B021,9514358.317,4331931.044,Beelines__Point_IvP III 39,,,,,,Beelines_Point_IvP III 39,,,,Sex. Claudius Silianus Aesimus,,,Sex. Claudius Silianus Aesimus,,,,,agonothete,
"44",IvP III 40,,https://inscriptions.packhum.org/text/303041?bookid=747&location=1674,"40, pp. 87",,B.f. Ehreninschriften. Für prominenter Pergamener,Imperial,"200","250",200-250 AD,Honorific,"Honours S. Claudius Aesimus, son of L. Silianus",Same family and similar content as no. 39. Boule and demos involved,Statue Base,Blue-ish Marble,Found near Elaia (port of Pergamon),The Asklepieion,It is suspected that it was moved from the Asklepieion due to similarity in content and family to nr. 39, ,9503400.534,4312201.564,,n,,,,Beelines__Point_IvP III 40,Pergamon,,https://pleiades.stoa.org/places/550812,27.1845303333,39.1312133333,Beelines_Point_IvP III 40,,,,"S. Claudius Aesimus, son of L. Silianus",,,"Sex. Claudius Silianus Aesimus; ",,,,,,
"45",IvP III 41,,https://inscriptions.packhum.org/text/303042?bookid=747&location=1674,"41, pp. 87-88",,B.f. Ehreninschriften. Für prominenter Pergamener,Imperial,"193","218",193-218 AD,Honorific,Restored to honour the sophist Ti. Claudius Nicomedes of Pergamon,very fragmented tekst,Fragment of statue base,Light Blue-ish marble,Found in upper tier of the theater, , , ,9514322.579,4331992.395,,n,Depot ,,,Beelines__Point_IvP III 41,,,,,,Beelines_Point_IvP III 41,,,,Ti. Claudius Nicomedes,,,Ti. Claudius Nicomedes,,,Claudianus,Sophist,,
"46",IvP III 42,,https://inscriptions.packhum.org/text/303043?bookid=747&location=1674,"42, pp. 88",,B.f. Ehreninschriften. Für prominenter Pergamener,Imperial,"120","215",120-215 AD,Honorific,Honours Marcus Ulpius Pius for euergetism,Boule involved in decission,Statue Base,White Marble originally with bronze statue,Found at the stairs of the Asklepios-soter temple, , , ,9514331.343,4331912.102,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 42,,,,,,Beelines_Point_IvP III 42,,,,Marcus Ulpius Pius,,,M. Ulpius Pius,,,M. Ulpius Pius,,,
"47",IvP III 43,,https://inscriptions.packhum.org/text/303044?bookid=747&location=1674,"43, pp. 88",,B.f. Ehreninschriften. Für prominenter Pergamener,Imperial,"-15","250",?,Honorific,Honours Julia Pulchra,"Cf Julia Pulchra in IvP 292; Father possibly C. Julius Pulcher, Archiereus; Brother neokoros",Small statue base,Marble,"""Sondage nach dem Strassentor"" - close to Via Tecta gate", ,Habicht only knows this one from a photo, ,,,,n,,,,Beelines__Point_IvP III 43,,,,,,Beelines_Point_IvP III 43,,,,Julia Pulchra,,,Julius Menodorus,,,Julius Menodorus,,,
"48",IvP III 44,,https://inscriptions.packhum.org/text/303045?bookid=747&location=1674,"44, pp. 88-92",Taf. 16,B.g. Ehreninschriften. Für einen kaiserlichen Freigelassenen,Imperial,"212","235",212-235 AD,Honorific,Honours freedman and Procurator Saturnius by his friend and Asiarch Aurelius Gaius, ,Statue base,White Marble,10m north of the Propylon,unclear, , ,9514414.968,4331916.409,,y,B013,9514409.752,4331928.629,Beelines__Point_IvP III 44,"Alexandria (Egypt); Asia (province); Asturia; Vipasca",,https://pleiades.stoa.org/places/727070,29.909773,31.201435,Beelines_Point_IvP III 44,,,,freedman and Procurator Saturnius,Aurelius Gaius,,,"S. Quintilius Condianus?; S. Quintilius Maximus",,,"Freedman; Asiarch; Senator",,
"49",IvP III 44.1,https://drive.google.com/file/d/1yqtzPUqnlUyIT3gnoP9GODCWuiyaZrNv/view?usp=sharing,https://inscriptions.packhum.org/text/303046?bookid=747&location=1674,"44.1, pp. 88-92",,B.g. Ehreninschriften. Für einen kaiserlichen Freigelassenen,Imperial,"214","214","214",Honorific,Honours freedman and Procurator Saturnius by his friend and Asiarch Aurelius Gaius, ,Statue base,White Marble,10m north of the Propylon,unclear, , ,9514414.968,4331916.409,,y,,,,Beelines__Point_IvP III 44.1,,,,,,Beelines_Point_IvP III 44.1,,,,freedman and Procurator Saturnius,Aurelius Gaius,,,,,,"Freedman; Asiarch",,SEG 40.1133
"50",IvP III 45,,https://inscriptions.packhum.org/text/303047?bookid=747&location=1674,"45, pp. 92",,B.h. Ehreninschriften. Für Asklepiospriester und Angehörige des Kultpersonnels,Imperial,"-27","250",?,Honorific,"Honours Flavius Aristomachus, son of Flavius Asklepiades",Priesthood became hereditary to the family of Asklepiades son of Archias in the Hellenistic Period (IvP II 251). Seems that the family became Roman,Round Cippus,White Marble,Northwest of the stairs of the Asklepios-Soter temple, , , ,9514331.343,4331912.102,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 45,,,,,,Beelines_Point_IvP III 45,,,,"Flavius Aristomachus, son of Flavius Asklepiades",,Archias,"Flavius Aristomachus; Flavius Asclepiades",,,"Archias; Flavius Aristomachus; Flavius Asclepiades",,,
"51",IvP III 46,,https://inscriptions.packhum.org/text/303048?bookid=747&location=1674,"46, pp. 93",,B.h. Ehreninschriften. Für Asklepiospriester und Angehörige des Kultpersonnels,Imperial,"-27","250",?,Honorific,"Fragmented, but Habicht names it in his list with honours for priests and cult personnel", ,Statue Base,White Marble,Not stated, , , ,9514476.239,4331880.294,,y,"A001-A055; A057-A058",9514306.244,4331822.584,Beelines__Point_IvP III 46,,,,,,Beelines_Point_IvP III 46,,,,,,,Flavius Asclepiades,,,Flavius Asclepiades,,,
"52",IvP III 47,https://drive.google.com/file/d/1AjdSpZZwzY84ZSU4ZigqLPGU19epFosA/view?usp=sharing,https://inscriptions.packhum.org/text/303049?bookid=747&location=1674,"47, pp. 93-42",Taf. 16,B.h. Ehreninschriften. Für Asklepiospriester und Angehörige des Kultpersonnels,Imperial,"175","225",ca. 175-225 AD,Honorific,Honours Titus Flavius Asklepiades,Habicht argues that the family of the hereditary priest gained citizenship by a Flavian emperor,Statue Base,White Marble,Found in the peristasis wall of the Northern hall,"Because it concerns a statue, in the wall was not the intended location",Possibly originally placed in the hall in front of the wall, ,9514355.143,4331946.815,,y,B047,9514416.08,4331934.924,Beelines__Point_IvP III 47,Nikaia,,,,,Beelines_Point_IvP III 47,,,,Titus Flavius Asklepiades,P. Cassius Epigenes from Nikaia,,Flavius Asclepiades,P. Cassius Epigenes from Nikaia,,Flavius Asclepiades,,therapeutes,
"53",IvP III 48,https://drive.google.com/file/d/1cCWzPGearlqH06NykXxCkQR5xGRu5zme/view?usp=sharing,https://inscriptions.packhum.org/text/303050?bookid=747&location=1674,"48, pp. 94-95","Taf. 16, 20",B.h. Ehreninschriften. Für Asklepiospriester und Angehörige des Kultpersonnels,Imperial,"-27","250",?,Honorific,"Honours Titus Flavius Archias, priest of Asklepios Soter placed by his mother",Liekly Post flavian period(after 96 AD),Large statue base,White marble,Found in the peristasis of the northern hall, , , ,9514355.143,4331946.815,,y,B055,9514380.925,4331944.341,Beelines__Point_IvP III 48,,,,,,Beelines_Point_IvP III 48,,,,"Titus Flavius Archias, priest of Asklepios Soter",his mother,,"T. Flavius Archias; Furia Quadratiana",,,"T. Flavius Archias; Furia Quadratiana",,,
"54",IvP III 49,,https://inscriptions.packhum.org/text/303051?bookid=747&location=1674,"49, pp. 95",Taf. 17,B.h. Ehreninschriften. Für Asklepiospriester und Angehörige des Kultpersonnels,Imperial,"-27","250",?,Honorific,"Honours Flavius Asklepiades, priest of Asklepios Soter",Liekly Post flavian period(after 96 AD),Statue Base,White Marble,Found in the peristasis of the northern hall, , , ,9514355.143,4331946.815,,n,B050,9514409.304,4331936.954,Beelines__Point_IvP III 49,,,,,,Beelines_Point_IvP III 49,,,,,,,Flavius Asclepiades,,,Flavius Asclepiades,,,
"55",IvP III 50,,https://inscriptions.packhum.org/text/303052?bookid=747&location=1674,"50, pp. 95",Taf. 17,B.h. Ehreninschriften. Für Asklepiospriester und Angehörige des Kultpersonnels,?,"-27","250",?,honorific,"Very fragmented; restored to Archias Asklepiades priest of Asklepios Soter",possibly pre-flavian (pre 69 AD) because the priestdid not have Roman name,"Round fragments (""Ringsum)"" of statue base",Marble,"Location fragment 1 unspecified; fragment 2 found in eastern part of southern hall", ,"Fragments do not fit with each other, but possibly belong together according to Habicht", ,9514408.60035767,4331841.84473221,,n,Depot ,,,Beelines__Point_IvP III 50,,,,,,Beelines_Point_IvP III 50,,,,Archias Asklepiades? priest of Asklepios Soter,,Archias Asklepiados,,,,Archias Asklepiados,,,
"56",IvP III 51,,https://inscriptions.packhum.org/text/303053?bookid=747&location=1674,"51, pp. 95-96",Taf. 17,B.h. Ehreninschriften. Für Asklepiospriester und Angehörige des Kultpersonnels,?,"-27","250",?,Honorific,"Very fragmented; restored to Asklepiades priest of Asklepios Soter",possibly pre-flavian (pre 69 AD) because the priestdid not have Roman name,Fragment Wall Panel,Marble,Found in the library (square building to the east of the northern hall) ,On the wall, , ,9514428.209,4331932.8,,n,Depot ,,,Beelines__Point_IvP III 51,,,,,,Beelines_Point_IvP III 51,,,,Asklepiades priest of Asklepios Soter,,Asklepiades,,,,Asklepiades,,,
"57",IvP III 52.1,,https://inscriptions.packhum.org/text/303055?bookid=747&location=1674,"52.1, pp. 96",Taf. 17,B.h. Ehreninschriften. Für Asklepiospriester und Angehörige des Kultpersonnels,?,"-27","250",?,Honorific,"Very fragmented; for one Flavius Asklepiades of the priestly family", ,"2 Round fragments (""Ringsum)"" ",white marble,"1 found northwestern corner of the sanctuary (close to theatre); 2nd found northeastern corner of the Festplatz", ,"Fragments do not fit with each other, but possibly belong together according to Habicht", ,9514410.04,4331927.304,,n,,,,Beelines__Point_IvP III 52.1,,,,,,Beelines_Point_IvP III 52.1,,,,Flavius Asklepiades of the priestly family,,,Flavius Asclepiades,,,Flavius Asclepiades,,,
"58",IvP III 52.2,,https://inscriptions.packhum.org/text/303056?bookid=747&location=1674,"52.2, pp. 96",Taf. 17,B.h. Ehreninschriften. Für Asklepiospriester und Angehörige des Kultpersonnels,?,"-27","250",?,Honorific,"Very fragmented; for one Flavius Asklepiades of the priestly family", ,"2 Round fragments (""Ringsum)"" ",white marble,"1 found northwestern corner of the sanctuary (close to theatre); 2nd found northeastern corner of the Festplatz", ,"Fragments do not fit with each other, but possibly belong together according to Habicht", ,9514410.04,4331927.304,,n,Depot ,,,Beelines__Point_IvP III 52.2,,,,,,Beelines_Point_IvP III 52.2,,,,Flavius Asklepiades of the priestly family,,,Flavius Asclepiades,,,Flavius Asclepiades,,,
"59",IvP III 53,https://drive.google.com/file/d/1gf3koXt_L9nX2hKBRF3J2zIuHQoIBhsK/view?usp=sharing,https://inscriptions.packhum.org/text/303057?bookid=747&location=1674,53. pp. 96,,B.h. Ehreninschriften. Für Asklepiospriester und Angehörige des Kultpersonnels,Early imperial,"-27","14",ca.  27 BC- 14 AD),Honorific,Honours for Asklepiades as agonothetes,"Festival not specified in inscription; seems likely to have been Asklepieia. Dated to pre-citizenship of the priestly family. Informs us about the duties of the priestly families. Likely by the demos, but this word is restored",Statue Base,White Marble,Found in the peristasis of the northern hall, , , ,9514355.143,4331946.815,,y,B045,9514416.08,4331934.924,Beelines__Point_IvP III 53,,,,,,Beelines_Point_IvP III 53,,,,Asklepiades as agonothetes,,Asklepiades,,,,Asklepiades,,agonothete,
"60",IvP III 54,https://drive.google.com/file/d/1EeSA83_qif6c5oVKGoAqKRCUS9eXfprN/view?usp=sharing,https://inscriptions.packhum.org/text/303058?bookid=747&location=1674,"54, pp. 96-97",Taf. 19,B.h. Ehreninschriften. Für Asklepiospriester und Angehörige des Kultpersonnels,Imperial,"120","215",120-215 AD,Honorific,Honours for the agonothetes C. Julius Faustus Luppianus by the boule,"Festival not specified in inscription; likely Asklepieia",Large Statue Base,White Marble,Located eastern part of the Festplatz, ,Habicht quotes Deubner when mentioning that it likely stood against a wall, ,9514409.501,4331909.616,,y,B068,9514355.496,4331898.666,Beelines__Point_IvP III 54,,,,,,Beelines_Point_IvP III 54,,,,C. Julius Faustus Luppianus (agonothete),boule,,C. Julius Faustus Stratonicianus,,,C. Julius Faustus Stratonicianus,,agonothete,
"61",IvP III 55,https://drive.google.com/file/d/1Byw-7MgvPbZccLB76hAGHu6w5z1sn99q/view?usp=sharing,https://inscriptions.packhum.org/text/303059?bookid=747&location=1674,"55, pp. 97-99",Taf. 18,B.h. Ehreninschriften. Für Asklepiospriester und Angehörige des Kultpersonnels,Imperial,"117","138",117-138 AD,Honorific,Honours for Cassianus. For his character,"Habicht names him as a neokoros (which is a restored word); keeper of keys,sellers of votives, interpreters of dreams but lower than the priest",Round Statue Base,Light Blue-ish marble,Found in the space in front of theatre, , , ,9514409.643,4331897.456,,y,B023,9514358.317,4331931.044,Beelines__Point_IvP III 55,,,,,,Beelines_Point_IvP III 55,,"Asklepios, o theos",,Cassianus,"P. Cl. Nicias Aelianus; Cl. Carpus; Cl. Marcianus",,"Cassianus; P. Cl. Nicias Aelianus; Cl. Carpus; Cl. Marcianus; M. Cossutius Rufus Maior ",,,"P. Cl. Nicias Aelianus; Cl. Carpus; Cl. Marcianus; M. Cossutius Rufus Maior ",,"neokoros; tamiaia (treasurers); ergepistates (superintendant of works)",
"62",IvP III 56,,https://inscriptions.packhum.org/text/303060?bookid=747&location=1674,"56, pp. 99-100",Taf. 20,B.i. Ehreninschriften. Fragmente,Imperial,"195","205",ca. 200 AD,Honorific,End of a honorific inscription for unknown person,"A name Glykon is found, but several prominent people from Pergamon had this name",Fragment of statue base,Light Marble,Found between the northern hall and sacred spring, , , ,9514314.79,4331942.608,,n,Depot ,,,Beelines__Point_IvP III 56,,,,,,Beelines_Point_IvP III 56,,,,unknown,A. Aelius  Apollonius Glycon Iulianus,,A. Aelius  Apollonius Glycon Iulianus,,,,,,
"63",IvP III 57,,https://inscriptions.packhum.org/text/303061?bookid=747&location=1674,"57, pp. 100",Taf. 21,B.i. Ehreninschriften. Fragmente,Imperial,"120","215",120-215 AD,Honorific,"Honorific inscription for a ""Soter"" of the city",Name is unkown,Fragment of statue base,Light Marble,Found at the Festplatz between old and new spring, , , ,9514323.984,4331939.531,,n,Depot ,,,Beelines__Point_IvP III 57,,,,,,Beelines_Point_IvP III 57,,,,"a ""Soter"" of the city",,,,,,,,,
"64",IvP III 58,,https://inscriptions.packhum.org/text/303062?bookid=747&location=1674,"58, pp. 100-101",Taf. 20,B.i. Ehreninschriften. Fragmente,Imperial,"175","200",ca. 175-200 AD,Honorific,Remnant of honorific inscription for the agoranomos Pompeius,Unkown whether he is Pergamene with citizenship or a Roman senator with the function of aedilis (which is a translation of agoranomos),Fragment of a round statue base,Light Blue-ish marble,Not stated, , , ,9514476.239,4331880.294,,n,Depot ,,,Beelines__Point_IvP III 58,,,,,,Beelines_Point_IvP III 58,,,alloi theoi,Pompeius (agoranomos),,,Pompeius,,,Pompeius,Agoranomos,,
"65",IvP III 59,,https://inscriptions.packhum.org/text/303063?bookid=747&location=1674,"59, pp. 101",Taf. 20,B.i. Ehreninschriften. Fragmente,Late Hellenistic,"-100","14",ca. 100 BC - at the latest 14 AD,Honorific,Remnant of honorific inscription by the demos for a Roman named Publius Pon[…] for euergetism,"It is dated to the late hellenistic period because after the reign of Tiberius the boule is frequently mentioned in combination with the demos; Hellenistic period the demos alone ",Left corner of statue base,White marble,Found near Hellenistic well (schöpfbrunnen), , , ,9514357.44,4331906.542,,n,Depot ,,,Beelines__Point_IvP III 59,,,,,,Beelines_Point_IvP III 59,,,,Roman Publius Pon[…],demos,,P. Pon[tius],,,P. Pon[tius],,,
"66",IvP III 60,,https://inscriptions.packhum.org/text/303064?bookid=747&location=1674,"60, pp. 101",Taf. 20,B.i. Ehreninschriften. Fragmente,Imperial,"117","138",117-138 AD,Honorific,End of a honorific inscription for Strategoi,Habicht interprets the fragmented names as A. Julius Dionysius and Julius Asklepiacus,"Round fragments (""Ringsum)"" ",White Marble,Found at the Cryptoporticus, ,"It is unclear to me whether it was at the entrance, above or in the cryptoporticus", ,9514385.94440175,4331881.63198696,,n,,,,Beelines__Point_IvP III 60,,,,,,Beelines_Point_IvP III 60,,,,Strategoi,,,"Julius Ascl[ep…]; A. Julius D[ionysus]",,,"Julius Ascl[ep…]; A. Julius D[ionysus]",strategoi,,
"67",IvP III 61,,https://inscriptions.packhum.org/text/303065?bookid=747&location=1674,"61, pp. 101-102",Taf. 20,B.i. Ehreninschriften. Fragmente,? ,"-27","250",? ,Honorific or votive?,Really fragmented with two interpretations: honorific or votive,"If ???? is restored as part of neokoros: honorific; if ???? is part of Koronidi it is votive",Round fragment,Blue-ish Marble,"""Gefunden am Trachytquaderbassin""", ,"I do not know this basin; it does not appear on the map", ,,,,n,Depot ,,,Beelines__Point_IvP III 61,,,,,,Beelines_Point_IvP III 61,,,,,,,,,,,,,
"68",IvP III 62,,https://inscriptions.packhum.org/text/303066?bookid=747&location=1674,"62, pp. 102",Taf. 20,B.i. Ehreninschriften. Fragmente,Imperial,"120","215",120-215 AD,Honorific?,"Really fragmented; ",Habicht restores it as a honorific inscription,Fragment ,White Marble,Found at the Festplatz , , , ,9514376.633,4331914.175,,n,Depot ,,,Beelines__Point_IvP III 62,,,,,,Beelines_Point_IvP III 62,,,,,,,,,,,,,
"69",IvP III 62b,,https://inscriptions.packhum.org/text/303067?bookid=747&location=1674,"62b, pp. 102",Taf. 20,B.i. Ehreninschriften. Fragmente,Imperial,"100","200",100-200 AD,honorific?,Fragment of honorific inscriptions, ,Fragment Statue Base,White marble,Removed from northwestern corner of northern stylobates, , , ,,,unclear,n,Depot ,,,Beelines__Point_IvP III 62b,,,,,,Beelines_Point_IvP III 62b,,,,,,,,,,,,,
"70",IvP III 63,,https://inscriptions.packhum.org/text/303068?&bookid=747&location=1674,"63, pp. 102-103",Taf. 21,C. Weihungen,Imperial,"100","200",100-200 AD,Dedication,Dedication by Aemilius Sabinus and Aemilius Herennianus to Zeus Soter Asklepios,After protection from Barbarians at sea. Habicht specifies the sea to the Atlantic,Tabula Ansata,White marble,Found at the steps of the middle entrance of the southern basement (Südhallenkeller), , , ,9514347.76424011,4331845.73709839,,n,,,,Beelines__Point_IvP III 63,Atlantic,,https://pleiades.stoa.org/places/256198,-5.485833,35.971667,Beelines_Point_IvP III 63,,Zeus Soter Asklepios,,,Aemilius Sabinus & Aemilius Herennianus,,"Aemilius Sabinus; Aemilius Herennianus",,,,,,
"71",IvP III 64,,https://inscriptions.packhum.org/text/303069?bookid=747&location=1674,"64, pp.  103-106",Taf. 22-24,C. Weihungen,Imperial,"117","138",117-138 AD,Dedication,Inscriptions on architraves northern hall. Possibly dedicated by Pollion (mentioned in Oratio 29 of Aristides) ,"Mentions among others: Asklepios and other gods, Hadrian and dedication of the stoa",23 architrave blocks,Bright Marble,Not stated,"Due to interpretation likely northern hall, above  columns",Inscriptions of the Northern Hall, ,9514476.239,4331880.294,,n,,,,Beelines__Point_IvP III 64,,,,,,Beelines_Point_IvP III 64,,Asklepios Soter,Hadrian,,Pollion?,,[Pol]lion,,,"Hadrian; [Pol]lion",,,
"72",IvP III 65,,https://inscriptions.packhum.org/text/303070?bookid=747&location=1674,"65, pp. 106-107",Taf. 25,C. Weihungen,Hellenistic,"-200","-100",200-100 BC,Dedication,"Dedication of thanksgiving (??) by Menestratos, son of Demetrios to Asklepios Soter and Hygieia", ,Fragment of thick stele,Bright Marble,Found at middle entrance of Southern hall, , , ,9514347.764,4331845.737,,n,Depot ,,,Beelines__Point_IvP III 65,,,,,,Beelines_Point_IvP III 65,,Asklepios Soter,Hygieia,,"Menestratos, son of Demetrios","Menestratos, son of Demetrios ",,,,"Menestratos, son of Demetrios ",,,
"73",IvP III 66,,https://inscriptions.packhum.org/text/303071?bookid=747&location=1674,"66, pp. 107",Taf. 25,C. Weihungen,?,"-27","117",?,Dedication,Dedicated to Asklepios Soter and Hygieia,possibly pre-Hadrian because it does not mention Zeus-Asklepios,Corner of a plate/plaque,White Marble,Found in rubble at the Festplatz, , , ,9514376.633,4331914.175,,n,Depot ,,,Beelines__Point_IvP III 66,,,,,,Beelines_Point_IvP III 66,,,Hygieia,,,,,,,,,,
"74",IvP III 67,,https://inscriptions.packhum.org/text/303072?bookid=747&location=1674,"67, pp. 107-108",Taf. 25,C. Weihungen,Imperial,"16","19",16-19 AD,Dedication,Dedicated in Latin to Asklepios and Salus (Hygieia) by Nummius Primus,"In Latin, possibly pre-Hadrian because it does not mention Zeus-Asklepios",Small votive altar,White Marble,Found in rubble in the library, , , ,9514428.209,4331932.8,,n,Depot ,,,Beelines__Point_IvP III 67,,,,,,Beelines_Point_IvP III 67,,Asclepio (Asklepios),Salus (Hygieia),,Nummius Primus,,,"Sex. Nonius Quinctillianus; Nummius Primus",,,"Lictor of proconsul; Senator",,
